변수명,변수 설명,변수값 설명
Q24_1,문24. 현재주택 주거환경 만족도_1) 상업시설 접근용이성(시장/대형마트/백화점 등),1. 매우불만족
,,2. 약간불만족
,,3. 대체로만족
,,4. 매우만족
Q24_2,문24. 현재주택 주거환경 만족도_2) 의료시설 접근용이성(병원/의료복지시설 등),1. 매우불만족
,,2. 약간불만족
,,3. 대체로만족
,,4. 매우만족
Q24_3,문24. 현재주택 주거환경 만족도_3) 공공기관 접근용이성(시청/읍면동사무소/경찰서 등),1. 매우불만족
,,2. 약간불만족
,,3. 대체로만족
,,4. 매우만족
Q24_4,문24. 현재주택 주거환경 만족도_4) 문화시설 접근용이성(극장/공연장/박물관/미술관 등),1. 매우불만족
,,2. 약간불만족
,,3. 대체로만족
,,4. 매우만족
Q24_5,문24. 현재주택 주거환경 만족도_5) 도시공원 및 녹지 접근용이성(놀이터/공원/녹지/수변 등),1. 매우불만족
,,2. 약간불만족
,,3. 대체로만족
,,4. 매우만족
Q24_6,문24. 현재주택 주거환경 만족도_6) 대중교통 접근용이성(버스/지하철 등),1. 매우불만족
,,2. 약간불만족
,,3. 대체로만족
,,4. 매우만족
Q24_7,문24. 현재주택 주거환경 만족도_7) 주차시설 이용편의성,1. 매우불만족
,,2. 약간불만족
,,3. 대체로만족
,,4. 매우만족
Q24_8,문24. 현재주택 주거환경 만족도_8) 주변도로의 보행 안전,1. 매우불만족
,,2. 약간불만족
,,3. 대체로만족
,,4. 매우만족
Q24_9,문24. 현재주택 주거환경 만족도_9) 교육환경(학교/학원 및 미취학 아동을 위한 시설/서비스 등),1. 매우불만족
,,2. 약간불만족
,,3. 대체로만족
,,4. 매우만족
Q24_10,문24. 현재주택 주거환경 만족도_10) 치안 및 범죄 등 방범 상태,1. 매우불만족
,,2. 약간불만족
,,3. 대체로만족
,,4. 매우만족
Q24_11,"문24. 현재주택 주거환경 만족도_11) 자동차 경적, 집주변의 소음 정도",1. 매우불만족
,,2. 약간불만족
,,3. 대체로만족
,,4. 매우만족
Q24_12,문24. 현재주택 주거환경 만족도_12) 청소 및 쓰레기 처리상태,1. 매우불만족
,,2. 약간불만족
,,3. 대체로만족
,,4. 매우만족
Q24_13,문24. 현재주택 주거환경 만족도_13) 대기오염 정도,1. 매우불만족
,,2. 약간불만족
,,3. 대체로만족
,,4. 매우만족
Q24_14,문24. 현재주택 주거환경 만족도_14) 이웃과의 관계,1. 매우불만족
,,2. 약간불만족
,,3. 대체로만족
,,4. 매우만족
Q25_1,문25. 주택에 대한 전반적인 만족도,1. 매우불만족
,,2. 약간불만족
,,3. 대체로만족
,,4. 매우만족
Q25_2,문25. 주거환경에 대한 전반적인 만족도,1. 매우불만족
,,2. 약간불만족
,,3. 대체로만족
,,4. 매우만족
Q26,문26. 귀 댁의 가구주께서는 가구주가 된 이후 현재주택에 살기 전에 이사한 경험이 있습니까?,1. 있다
,,2. 없다
Q26_1,"문26-1. 귀 댁의 가구주께서 가구주가 된 이후를 기준으로 했을 때, 현재주택에 거주하기까지 몇 번 이사를 하셨습니까?_회",9999999. 모름/무응답
Q27_1,문27. 현재주택으로 이사오기 바로 전에 어디서 사셨습니까?_시도,1. 서울
,,2. 부산
,,3. 대구
,,4. 인천
,,5. 광주
,,6. 대전
,,7. 울산
,,8. 세종
,,9. 경기
,,10. 강원
,,11. 충북
,,12. 충남
,,13. 전북
,,14. 전남
,,15. 경북
,,16. 경남
,,17. 제주
,,18. 국외
Q27_2,문27. 현재주택으로 이사오기 바로 전에 어디서 사셨습니까?_시군구/읍면동,1. 강남구
,,2. 강동구
,,3. 강북구
,,4. 강서구
,,5. 관악구
,,6. 광진구
,,7. 구로구
,,8. 금천구
,,9. 노원구
,,10. 도봉구
,,11. 동대문구
,,12. 동작구
,,13. 마포구
,,14. 서대문구
,,15. 서초구
,,16. 성동구
,,17. 성북구
,,18. 송파구
,,19. 양천구
,,20. 영등포구
,,21. 용산구
,,22. 은평구
,,23. 종로구
,,24. 중구
,,25. 중랑구
,,26. 강서구
,,27. 금정구
,,28. 기장군
,,29. 남구
,,30. 동구
,,31. 동래구
,,32. 부산진구
,,33. 북구
,,34. 사상구
,,35. 사하구
,,36. 서구
,,37. 수영구
,,38. 연제구
,,39. 영도구
,,40. 중구
,,41. 해운대구
,,42. 남구
,,43. 달서구
,,44. 달성군
,,45. 동구
,,46. 북구
,,47. 서구
,,48. 수성구
,,49. 중구
,,50. 강화군
,,51. 계양구
,,52. 남동구
,,53. 동구
,,54. 미추홀구
,,55. 부평구
,,56. 서구
,,57. 연수구
,,58. 옹진군
,,59. 중구
,,60. 광산구
,,61. 남구
,,62. 동구
,,63. 북구
,,64. 서구
,,65. 대덕구
,,66. 동구
,,67. 서구
,,68. 유성구
,,69. 중구
,,70. 남구
,,71. 동구
,,72. 북구
,,73. 울주군
,,74. 중구
,,75. 가평군
,,76. 고양시
,,77. 과천시
,,78. 광명시
,,79. 광주시
,,80. 구리시
,,81. 군포시
,,82. 김포시
,,83. 남양주시
,,84. 동두천시
,,85. 부천시
,,86. 성남시
,,87. 수원시
,,88. 시흥시
,,89. 안산시
,,90. 안성시
,,91. 안양시
,,92. 양주시
,,93. 양평군
,,94. 여주시
,,95. 연천군
,,96. 오산시
,,97. 용인시
,,98. 의왕시
,,99. 의정부시
,,100. 이천시
,,101. 파주시
,,102. 평택시
,,103. 포천시
,,104. 하남시
,,105. 화성시
,,106. 강릉시
,,107. 고성군
,,108. 동해시
,,109. 삼척시
,,110. 속초시
,,111. 양구군
,,112. 양양군
,,113. 영월군
,,114. 원주시
,,115. 인제군
,,116. 정선군
,,117. 철원군
,,118. 춘천시
,,119. 태백시
,,120. 평창군
,,121. 홍천군
,,122. 화천군
,,123. 횡성군
,,124. 괴산군
,,125. 단양군
,,126. 보은군
,,127. 영동군
,,128. 옥천군
,,129. 음성군
,,130. 제천시
,,131. 증평군
,,132. 진천군
,,133. 청주시
,,134. 충주시
,,135. 계룡시
,,136. 공주시
,,137. 금산군
,,138. 논산시
,,139. 당진시
,,140. 보령시
,,141. 부여군
,,142. 서산시
,,143. 서천군
,,144. 아산시
,,145. 예산군
,,146. 천안시
,,147. 청양군
,,148. 태안군
,,149. 홍성군
,,150. 고창군
,,151. 군산시
,,152. 김제시
,,153. 남원시
,,154. 무주군
,,155. 부안군
,,156. 순창군
,,157. 완주군
,,158. 익산시
,,159. 임실군
,,160. 장수군
,,161. 전주시
,,162. 정읍시
,,163. 진안군
,,164. 강진군
,,165. 고흥군
,,166. 곡성군
,,167. 광양시
,,168. 구례군
,,169. 나주시
,,170. 담양군
,,171. 목포시
,,172. 무안군
,,173. 보성군
,,174. 순천시
,,175. 신안군
,,176. 여수시
,,177. 영광군
,,178. 영암군
,,179. 완도군
,,180. 장성군
,,181. 장흥군
,,182. 진도군
,,183. 함평군
,,184. 해남군
,,185. 화순군
,,186. 경산시
,,187. 경주시
,,188. 고령군
,,189. 구미시
,,190. 군위군
,,191. 김천시
,,192. 문경시
,,193. 봉화군
,,194. 상주시
,,195. 성주군
,,196. 안동시
,,197. 영덕군
,,198. 영양군
,,199. 영주시
,,200. 영천시
,,201. 예천군
,,202. 울릉군
,,203. 울진군
,,204. 의성군
,,205. 청도군
,,206. 청송군
,,207. 칠곡군
,,208. 포항시
,,209. 거제시
,,210. 거창군
,,211. 고성군
,,212. 김해시
,,213. 남해군
,,214. 밀양시
,,215. 사천시
,,216. 산청군
,,217. 양산시
,,218. 의령군
,,219. 진주시
,,220. 창녕군
,,221. 창원시
,,222. 통영시
,,223. 하동군
,,224. 함안군
,,225. 함양군
,,226. 합천군
,,227. 서귀포시
,,228. 제주시
,,230. 고운동
,,231. 금남면
,,232. 다정동
,,233. 대평동
,,234. 도담동
,,235. 반곡동
,,236. 보람동
,,237. 부강면
,,238. 새롬동
,,239. 소담동
,,240. 소정면
,,241. 아름동
,,242. 연기면
,,243. 연동면
,,244. 연서면
,,245. 장군면
,,246. 전동면
,,247. 전의면
,,248. 조치원읍
,,249. 종촌동
,,250. 한솔동
,,251. 해밀동
Q28,문28. 귀 댁이 현재주택으로 이사오기 바로 전 주택의 유형은 무엇이었습니까?,1. 일반단독주택
,,2. 다가구단독주택
,,3. 영업겸용단독주택
,,4. 아파트
,,5. 연립주택
,,6. 다세대주택
,,7. 비거주용건물(상가ㆍ공장ㆍ여관 등)내 주택
,,8. 오피스텔
,,9. 고시원
,,10. 판잣집ㆍ비닐하우스ㆍ컨테이너ㆍ움막
,,11. 기타
Q28_O,(TEXT) 문28. (기타오픈) 귀 댁이 현재주택으로 이사오기 바로 전 주택의 유형은 무엇이었습니까?,
Q29,문29. 귀 댁이 현재주택으로 이사오기 바로 전 주택의 점유형태는 어디에 해당됩니까?,1. 자가
,,2. 전세
,,3. 보증금 있는 월세
,,4. 보증금 없는 월세
,,5. 사글세 또는 연세
,,6. 일세
,,7. 무상
Q30,문30. 귀 댁이 현재주택으로 이사오기 바로 전 주택의 주택 내 위치는 어디에 해당됩니까?,1. 지상
,,2. 반지하
,,3. 지하
,,4. 옥상(옥탑)
Q31,문31. 귀 댁의 현재 주택 거주 직전 주택 구조는 어떻습니까?,1. 원룸형
,,2. 원룸형 아님
Q31_1,문31-1. 원룸형이 아닌 경우_방,
Q32_A,문32. 귀 댁의 현재 주택 거주 직전 주택의 면적은 얼마입니까? 주택사용면적(전용면적)_평,9999999. 모름/무응답
Q32_B,문32. 귀 댁의 현재 주택 거주 직전 주택의 면적은 얼마입니까? 주택사용면적(전용면적)_㎡,9999999. 모름/무응답
Q33,문33. 귀 가구는 다른 주택으로 이사할 계획이 있습니까?,1. 계획이 있음
,,2. 계획이 없음
,,3. 잘 모르겠음
Q33_1,문33-1. 몇 년 안에 이사가실 계획 입니까?,1. 2년 미만
,,2. 2~5년
,,3. 5년 초과
Q34_1,문34-1. 귀 댁이 현재주택으로 이사한 이유를 보기에서 각 두 개씩 골라 기입해 주십시오.,1. 결혼이나 세대독립을 위해서
,,2. 이미 분양받은 주택으로 이사 또는 내 집 마련을 위해
,,3. 집값 혹은 집세가 너무 비싸고 부담스러워서
,,4. 집주인이 나가라고 해서
,,5. 계약 만기로 인해서
,,6. 재개발이나 재건축으로 인해서
,,7. 시설이나 설비가 더 양호한 집으로 이사하려고
,,8. 가구상황에 적합한 주택규모로 이사하려고
,,"9. 부모, 자녀 등과 가까이 살려고"
,,10. 직주근접ㆍ직장변동 때문에
,,"11. 교통이 편리하고, 편의ㆍ문화시설, 공원 및 녹지 등이 좋은 지역으로 가기 위해서"
,,12. 자녀 양육 및 교육환경 때문에
,,13. 귀촌ㆍ귀농 등 자연환경이 좋은 지역을 찾아서
,,14. 기타
Q34_1_M2,(M)2 문34-1. 귀 댁이 현재주택으로 이사한 이유를 보기에서 각 두 개씩 골라 기입해 주십시오.,1. 결혼이나 세대독립을 위해서
,,2. 이미 분양받은 주택으로 이사 또는 내 집 마련을 위해
,,3. 집값 혹은 집세가 너무 비싸고 부담스러워서
,,4. 집주인이 나가라고 해서
,,5. 계약 만기로 인해서
,,6. 재개발이나 재건축으로 인해서
,,7. 시설이나 설비가 더 양호한 집으로 이사하려고
,,8. 가구상황에 적합한 주택규모로 이사하려고
,,"9. 부모, 자녀 등과 가까이 살려고"
,,10. 직주근접ㆍ직장변동 때문에
,,"11. 교통이 편리하고, 편의ㆍ문화시설, 공원 및 녹지 등이 좋은 지역으로 가기 위해서"
,,12. 자녀 양육 및 교육환경 때문에
,,13. 귀촌ㆍ귀농 등 자연환경이 좋은 지역을 찾아서
,,14. 기타
Q34_1_M2_O,(TEXT) 문34-1. (기타오픈) 귀 댁이 현재주택으로 이사한 이유를 보기에서 각 두 개씩 골라 기입해 주십시오.,
Q34_2,문34-2. 귀 댁이 앞으로 이사를 계획하고 있는 이유를 보기에서 각 두 개씩 골라 기입해 주십시오.,1. 결혼이나 세대독립을 위해서
,,2. 이미 분양받은 주택으로 이사 또는 내 집 마련을 위해
,,3. 집값 혹은 집세가 너무 비싸고 부담스러워서
,,4. 집주인이 나가라고 해서
,,5. 계약 만기로 인해서
,,6. 재개발이나 재건축으로 인해서
,,7. 시설이나 설비가 더 양호한 집으로 이사하려고
,,8. 가구상황에 적합한 주택규모로 이사하려고
,,"9. 부모, 자녀 등과 가까이 살려고"
,,10. 직주근접ㆍ직장변동 때문에
,,"11. 교통이 편리하고, 편의ㆍ문화시설, 공원 및 녹지 등이 좋은 지역으로 가기 위해서"
,,12. 자녀 양육 및 교육환경 때문에
,,13. 귀촌ㆍ귀농 등 자연환경이 좋은 지역을 찾아서
,,14. 기타
Q34_2_M2,(M)2 문34-2. 귀 댁이 앞으로 이사를 계획하고 있는 이유를 보기에서 각 두 개씩 골라 기입해 주십시오.,1. 결혼이나 세대독립을 위해서
,,2. 이미 분양받은 주택으로 이사 또는 내 집 마련을 위해
,,3. 집값 혹은 집세가 너무 비싸고 부담스러워서
,,4. 집주인이 나가라고 해서
,,5. 계약 만기로 인해서
,,6. 재개발이나 재건축으로 인해서
,,7. 시설이나 설비가 더 양호한 집으로 이사하려고
,,8. 가구상황에 적합한 주택규모로 이사하려고
,,"9. 부모, 자녀 등과 가까이 살려고"
,,10. 직주근접ㆍ직장변동 때문에
,,"11. 교통이 편리하고, 편의ㆍ문화시설, 공원 및 녹지 등이 좋은 지역으로 가기 위해서"
,,12. 자녀 양육 및 교육환경 때문에
,,13. 귀촌ㆍ귀농 등 자연환경이 좋은 지역을 찾아서
,,14. 기타
Q34_2_M2_O,(TEXT) 문34-2. (기타오픈) 귀 댁이 앞으로 이사를 계획하고 있는 이유를 보기에서 각 두 개씩 골라 기입해 주십시오.,
Q35_1,문35. 귀 댁은 앞으로 어느 지역으로 이사할 계획입니까?_시도,1. 서울
,,2. 부산
,,3. 대구
,,4. 인천
,,5. 광주
,,6. 대전
,,7. 울산
,,8. 세종
,,9. 경기
,,10. 강원
,,11. 충북
,,12. 충남
,,13. 전북
,,14. 전남
,,15. 경북
,,16. 경남
,,17. 제주
,,18. 국외
Q35_2,문35. 귀 댁은 앞으로 어느 지역으로 이사할 계획입니까?_시군구/읍면동,1. 강남구
,,2. 강동구
,,3. 강북구
,,4. 강서구
,,5. 관악구
,,6. 광진구
,,7. 구로구
,,8. 금천구
,,9. 노원구
,,10. 도봉구
,,11. 동대문구
,,12. 동작구
,,13. 마포구
,,14. 서대문구
,,15. 서초구
,,16. 성동구
,,17. 성북구
,,18. 송파구
,,19. 양천구
,,20. 영등포구
,,21. 용산구
,,22. 은평구
,,23. 종로구
,,24. 중구
,,25. 중랑구
,,26. 강서구
,,27. 금정구
,,28. 기장군
,,29. 남구
,,30. 동구
,,31. 동래구
,,32. 부산진구
,,33. 북구
,,34. 사상구
,,35. 사하구
,,36. 서구
,,37. 수영구
,,38. 연제구
,,39. 영도구
,,40. 중구
,,41. 해운대구
,,42. 남구
,,43. 달서구
,,44. 달성군
,,45. 동구
,,46. 북구
,,47. 서구
,,48. 수성구
,,49. 중구
,,50. 강화군
,,51. 계양구
,,52. 남동구
,,53. 동구
,,54. 미추홀구
,,55. 부평구
,,56. 서구
,,57. 연수구
,,58. 옹진군
,,59. 중구
,,60. 광산구
,,61. 남구
,,62. 동구
,,63. 북구
,,64. 서구
,,65. 대덕구
,,66. 동구
,,67. 서구
,,68. 유성구
,,69. 중구
,,70. 남구
,,71. 동구
,,72. 북구
,,73. 울주군
,,74. 중구
,,75. 가평군
,,76. 고양시
,,77. 과천시
,,78. 광명시
,,79. 광주시
,,80. 구리시
,,81. 군포시
,,82. 김포시
,,83. 남양주시
,,84. 동두천시
,,85. 부천시
,,86. 성남시
,,87. 수원시
,,88. 시흥시
,,89. 안산시
,,90. 안성시
,,91. 안양시
,,92. 양주시
,,93. 양평군
,,94. 여주시
,,95. 연천군
,,96. 오산시
,,97. 용인시
,,98. 의왕시
,,99. 의정부시
,,100. 이천시
,,101. 파주시
,,102. 평택시
,,103. 포천시
,,104. 하남시
,,105. 화성시
,,106. 강릉시
,,107. 고성군
,,108. 동해시
,,109. 삼척시
,,110. 속초시
,,111. 양구군
,,112. 양양군
,,113. 영월군
,,114. 원주시
,,115. 인제군
,,116. 정선군
,,117. 철원군
,,118. 춘천시
,,119. 태백시
,,120. 평창군
,,121. 홍천군
,,122. 화천군
,,123. 횡성군
,,124. 괴산군
,,125. 단양군
,,126. 보은군
,,127. 영동군
,,128. 옥천군
,,129. 음성군
,,130. 제천시
,,131. 증평군
,,132. 진천군
,,133. 청주시
,,134. 충주시
,,135. 계룡시
,,136. 공주시
,,137. 금산군
,,138. 논산시
,,139. 당진시
,,140. 보령시
,,141. 부여군
,,142. 서산시
,,143. 서천군
,,144. 아산시
,,145. 예산군
,,146. 천안시
,,147. 청양군
,,148. 태안군
,,149. 홍성군
,,150. 고창군
,,151. 군산시
,,152. 김제시
,,153. 남원시
,,154. 무주군
,,155. 부안군
,,156. 순창군
,,157. 완주군
,,158. 익산시
,,159. 임실군
,,160. 장수군
,,161. 전주시
,,162. 정읍시
,,163. 진안군
,,164. 강진군
,,165. 고흥군
,,166. 곡성군
,,167. 광양시
,,168. 구례군
,,169. 나주시
,,170. 담양군
,,171. 목포시
,,172. 무안군
,,173. 보성군
,,174. 순천시
,,175. 신안군
,,176. 여수시
,,177. 영광군
,,178. 영암군
,,179. 완도군
,,180. 장성군
,,181. 장흥군
,,182. 진도군
,,183. 함평군
,,184. 해남군
,,185. 화순군
,,186. 경산시
,,187. 경주시
,,188. 고령군
,,189. 구미시
,,190. 군위군
,,191. 김천시
,,192. 문경시
,,193. 봉화군
,,194. 상주시
,,195. 성주군
,,196. 안동시
,,197. 영덕군
,,198. 영양군
,,199. 영주시
,,200. 영천시
,,201. 예천군
,,202. 울릉군
,,203. 울진군
,,204. 의성군
,,205. 청도군
,,206. 청송군
,,207. 칠곡군
,,208. 포항시
,,209. 거제시
,,210. 거창군
,,211. 고성군
,,212. 김해시
,,213. 남해군
,,214. 밀양시
,,215. 사천시
,,216. 산청군
,,217. 양산시
,,218. 의령군
,,219. 진주시
,,220. 창녕군
,,221. 창원시
,,222. 통영시
,,223. 하동군
,,224. 함안군
,,225. 함양군
,,226. 합천군
,,227. 서귀포시
,,228. 제주시
,,230. 고운동
,,231. 금남면
,,232. 다정동
,,233. 대평동
,,234. 도담동
,,235. 반곡동
,,236. 보람동
,,237. 부강면
,,238. 새롬동
,,239. 소담동
,,240. 소정면
,,241. 아름동
,,242. 연기면
,,243. 연동면
,,244. 연서면
,,245. 장군면
,,246. 전동면
,,247. 전의면
,,248. 조치원읍
,,249. 종촌동
,,250. 한솔동
,,251. 해밀동
Q36,문36. 귀 댁은 어떤 유형의 주택으로 이사하고자 하십니까?,1. 일반단독주택
,,2. 다가구단독주택
,,3. 영업겸용단독주택
,,4. 아파트
,,5. 연립주택
,,6. 다세대주택
,,7. 비거주용건물(상가ㆍ공장ㆍ여관 등)내 주택
,,8. 오피스텔
,,9. 고시원
,,10. 판잣집ㆍ비닐하우스ㆍ컨테이너ㆍ움막
,,11. 기타
Q36_O,(TEXT) 문36. (기타오픈) 귀 댁은 어떤 유형의 주택으로 이사하고자 하십니까?,
