"시설명","시설코드","시설종류명(시설유형)","시설종류상세명(시설종류)","자치구(시)구분","시군구코드","시군구명","시설주소","전화번호","우편번호"
"홍파양로원","A0004","(노인복지시설) 양로시설","노인주거복지시설","자치구","1135000000","노원구","서울특별시 노원구 동일로248길 1266 번지","",""
"혜명양로원","A0019","(노인복지시설) 양로시설","노인주거복지시설","자치구","1154500000","금천구","서울특별시 금천구 금하로29길 ","",""
"시립고덕양로원","A0098","(노인복지시설) 양로시설","노인주거복지시설","자치구","1174000000","강동구","서울특별시 강동구 고덕로 199 (고덕동)","",""
"사랑의 집","A1746","(노인복지시설) 양로시설","노인주거복지시설","자치구","1144000000","마포구","서울특별시 마포구 만리재옛6길 14 (공덕동)","",""
"서울성모원","A2156","(노인복지시설) 양로시설","노인주거복지시설","자치구","1156000000","영등포구","서울특별시 영등포구 대림로12가길 7-1","",""
"성우회","A2218","(노인복지시설) 양로시설","노인주거복지시설","자치구","1138000000","은평구","서울특별시 은평구 통일로92길 13 (불광동)","",""
"서울시니어스타워㈜강서본부","A3022","(노인복지시설) 노인복지주택","노인주거복지시설","자치구","1150000000","강서구","서울특별시 강서구 공항대로 315 (등촌동)","",""
"섭리의집","A3167","(노인복지시설) 양로시설","노인주거복지시설","자치구","1154500000","금천구","서울특별시 금천구 시흥대로40길 111-5 (시흥동)","",""
"서울시니어스타워(주)가양본부","A4603","(노인복지시설) 노인복지주택","노인주거복지시설","자치구","1150000000","강서구","서울특별시 강서구 화곡로68길 102 (등촌동)","",""
"시니어캐슬 클라시온","A6023","(노인복지시설) 노인복지주택","노인주거복지시설","자치구","1138000000","은평구","서울특별시 은평구 은평로21길 34-5 (녹번동)","",""
"모니카의 집","A6524","(노인복지시설) 노인공동생활가정","노인주거복지시설","자치구","1121500000","광진구","서울특별시 광진구 자양로33길 36 (구의동)","",""
"쟌쥬강의 집","A6835","(노인복지시설) 양로시설","노인주거복지시설","자치구","1150000000","강서구","서울특별시 강서구 까치산로14길 67 (화곡동)","",""
"자애로운 성모의 집","A6850","(노인복지시설) 양로시설","노인주거복지시설","자치구","1132000000","도봉구","서울특별시 도봉구 우이천로38마길 19 (쌍문동)","",""
"정동상림원","A6971","(노인복지시설) 노인복지주택","노인주거복지시설","자치구","1114000000","중구","서울특별시 중구 정동길 21-31 (정동)","",""
"상암 카이져팰리스 클래식","A7109","(노인복지시설) 노인복지주택","노인주거복지시설","자치구","1144000000","마포구","서울특별시 마포구 월드컵북로47길 37 (상암동)","",""
"서울시니어스타워(주) 강서본부","C0000011834","(노인복지시설) 노인복지주택","노인주거복지시설","자치구","1150000000","강서구","서울특별시 강서구 공항대로 315 (등촌동)","",""
"(효천)성바오로집","C0000013618","(노인복지시설) 노인공동생활가정","노인주거복지시설","자치구","1168000000","강남구","서울특별시 강남구 논현로18길 18-18 (개포동)","",""
"후성누리움","C0000014259","(노인복지시설) 노인복지주택","노인주거복지시설","자치구","1174000000","강동구","서울특별시 강동구 명일로 135 (둔촌동)","",""
"베들레헴사랑의집","C0102844471","(노인복지시설) 양로시설","노인주거복지시설","자치구","1156000000","영등포구","경기도 동두천시 탑동동 -95 ","",""
"이암 양로원","C0119458588","(노인복지시설) 양로시설","노인주거복지시설","자치구","1120000000","성동구","서울특별시 성동구 상왕십리동 뉴타운2구역 종교부지 1로트 천리교 혜성교회 5층","",""
"황윤현시설","C0183214470","(노인복지시설) 노인공동생활가정","노인주거복지시설","자치구","1126000000","중랑구","서울특별시 강남구 남부순환로 2609 (도곡동)","",""
"KB골든라이프케어 종로평창카운티","C0608200217","(노인복지시설) 노인복지주택","노인주거복지시설","자치구","1111000000","종로구","서울특별시 종로구 평창문화로 87 (평창동)","",""
"세디아","C0608462966","(노인복지시설) 양로시설","노인주거복지시설","자치구","1156000000","영등포구","서울특별시 영등포구 신길로 93 (신길동)","",""
"위례심포니아","C0609522399","(노인복지시설) 노인복지주택","노인주거복지시설","자치구","1171000000","송파구","서울특별시 송파구 위례순환로 377 (장지동)","",""
"VL르웨스트","C0609707992","(노인복지시설) 노인복지주택","노인주거복지시설","자치구","1150000000","강서구","서울특별시 강서구 마곡중앙3로 16 (마곡동)","",""
"애림원","F04322","(노인복지시설) 양로시설","노인주거복지시설","자치구","1100000000","서울특별시","경기도 시흥시 동서로 895-6 (물왕동)","",""
"요셉의집","G1222","(노인복지시설) 노인공동생활가정","노인주거복지시설","자치구","1132000000","도봉구","서울특별시 도봉구 시루봉로15라길 69 (방학동)","",""
"서울시니어스타워(주)강남본부","G1767","(노인복지시설) 노인복지주택","노인주거복지시설","자치구","1168000000","강남구","서울특별시 강남구 자곡로 100-2 (자곡동, 서울특별시니어스강남타워)","",""
"하이원빌리지","G1824","(노인복지시설) 노인복지주택","노인주거복지시설","자치구","1117000000","용산구","서울특별시 용산구 한강대로40가길 24 (한강로2가)","",""
"서울시니어스타워(주) 서울본부","G2203","(노인복지시설) 노인복지주택","노인주거복지시설","자치구","1114000000","중구","서울특별시 중구 다산로 72 (신당동, 서울특별시니어스타워)","",""
"THE CLASSIC 500","G2640","(노인복지시설) 양로시설","노인주거복지시설","자치구","1121500000","광진구","서울특별시 광진구 능동로 90 (자양동)","",""
"노블레스타워","G2642","(노인복지시설) 노인복지주택","노인주거복지시설","자치구","1129000000","성북구","서울특별시 성북구 종암로 90 (종암동)","",""
"더시그넘하우스","G3309","(노인복지시설) 노인복지주택","노인주거복지시설","자치구","1168000000","강남구","서울특별시 강남구 자곡로 204-25 (자곡동, 더시그넘하우스)","",""
"실버하우스 늘봄","G4986","(노인복지시설) 노인공동생활가정","노인주거복지시설","자치구","1147000000","양천구","서울특별시 양천구 목동중앙남로3길 42 (목동)","",""