시설ID,시설명,서비스분류코드,서비스분류명,자치구코드,자치구명,연령구분코드,연령구분,X좌표값,Y좌표값,우편번호,기본주소,상세주소,설립일,사용료무료여부,사용료,전용면적(평),학기시작시간,학기종료시간,방학시작시간,방학종료시간,재량휴일시작시간,재량휴일종료시간,토요일운영여부,토요일운영시작시간,토요일운영종료시간,월사용료무료여부,월자기부담금,월사용료,일사용료무료여부,일자기부담금,일사용료,상시돌봄정원수,일시돌봄정원수,전용면적(m2),자치구코드배열,아침돌봄서비스여부,등록일시,수정일시
GR260201,구로20호점 우리동네키움센터(개봉2동),1001,우리동네키움센터,11530,구로구,1003,초등학생,126.86113,37.49273,8329,서울특별시 구로구 개봉로20길 123,구로문화누리 도서관동 1층 (개봉동),2026-02-23T00:00:00,,,103,900,1800,900,1800,900,1800,N,,,N,,50000,N,,2500,20,4,30,,N,2026-02-02T12:47:20,2026-02-13T13:24:26
DB251101,도봉구 8호점 우리동네키움센터(융합형),1009,융합형키움센터,11320,도봉구,1003,초등학생,127.046357369164,37.6747946196748,1326,서울특별시 도봉구 도봉로162길 25-3, (도봉동) 도봉구 8호점 우리동네키움센터(융합형),2026-01-02T00:00:00,,,120,1300,2200,800,2200,800,2200,Y,900,1300,N,,20000,N,,2000,30,6,398.26,,N,2025-11-28T11:16:17,2026-03-11T13:50:07
YC251001,양천구 8호점 우리동네키움센터,1001,우리동네키움센터,11470,양천구,1003,초등학생,126.869006300997,37.5109667065923,8101,서울특별시 양천구 목동남로 98,양천구보육타운 3층 (신정동),2025-11-19T00:00:00,,,56,1300,2000,900,1800,900,1800,N,,,N,,50000,N,,2500,32,6,185,,N,2025-10-02T16:15:44,2026-04-17T16:08:32
GD250602,강동9호점 둔촌동 우리동네키움센터(융합형),1009,융합형키움센터,11740,강동구,1003,초등학생,127.13616,37.52585,5409,서울특별시 강동구 양재대로 1342,강동숨터 3층 (둔촌동),2025-07-01T00:00:00,,,102,1300,2000,800,2000,900,2000,Y,900,1300,N,,50000,N,,2500,40,8,339.16,,N,2025-06-19T17:25:54,2025-08-07T10:52:41
GD250501,강동구8호점 상일동 우리동네키움센터,1001,우리동네키움센터,11740,강동구,1003,초등학생,127.16382,37.55124,5277,서울특별시 강동구 구천면로 587,강동숲속도서관 1층 (상일동),2025-06-02T00:00:00,,,36,1300,1900,900,1800,900,1800,N,,,N,,50000,N,,2500,25,5,120,,N,2025-05-18T08:11:55,2026-02-15T22:36:54
SB250301,성북14호점 우리동네키움센터(장위3동),1001,우리동네키움센터,11290,성북구,1003,초등학생,127.05531,37.61516,2774,서울특별시 성북구 장위로 170,1층 (장위3동주민센터),2025-04-01T00:00:00,,,42,1300,2000,900,1800,900,1800,N,,,N,,50000,N,,2500,23,4,138,,N,2025-03-05T18:55:32,2025-10-30T19:20:20
GS250201,강서8호점 화곡6동 우리동네키움센터,1001,우리동네키움센터,11500,강서구,1003,초등학생,126.85103,37.55106,7659,서울특별시 강서구 화곡로54길 43,"종합보육센터 2층 (화곡동, 강서금호어울림퍼스티어)",2025-03-10T00:00:00,,,38,1300,2000,900,1800,900,1800,N,,,N,,50000,N,,2500,20,4,125,,Y,2025-02-24T17:28:51,2026-04-24T10:57:34
DJ250202,동작18호점 우리동네키움센터(사당꿈),1001,우리동네키움센터,11590,동작구,1003,초등학생,126.97758,37.48838,6999,서울특별시 동작구 동작대로29길 63-26, (사당동),2025-03-10T00:00:00,,,59,1300,1900,900,1800,900,1800,N,,,N,,50000,N,,2500,30,6,196.32,,N,2025-02-17T11:05:17,2026-04-08T11:41:05
DJ250201,동작17호점 우리동네키움센터(흑석꿈),1001,우리동네키움센터,11590,동작구,1003,초등학생,126.95915,37.50993,6909,서울특별시 동작구 흑석로13길 25,3층 (흑석동),2025-02-17T00:00:00,,,59,1300,1900,900,1800,900,1900,N,,,N,,50000,N,,2500,30,6,196.32,,N,2025-02-17T10:24:54,2026-03-03T17:06:24
GS250101,강서9호점 우장산동 우리동네키움센터,1001,우리동네키움센터,11500,강서구,1003,초등학생,126.840060318682,37.5542219481224,7682,서울특별시 강서구 우장산로 24-5,내발산복합복지센터 3층 (내발산동)[*미고시],2025-01-20T00:00:00,,,35,1300,2000,900,1800,900,1800,N,,,N,,50000,N,,2500,20,4,116,,N,2025-01-15T11:29:36,2025-10-16T14:28:49
YC241201,양천구 7호점 우리동네키움센터,1001,우리동네키움센터,11470,양천구,1003,초등학생,126.831343658703,37.5138795927811,8050,서울특별시 양천구 신정이펜1로 50,"314동 1층 (신정동, 신정이펜하우스3단지)",2024-12-23T00:00:00,,,39,1300,2000,900,1900,900,1800,N,,,N,,50000,N,,2500,25,5,129,,Y,2024-12-23T14:36:00,2026-01-02T14:24:30
BP241201,제6호(강서권) 거점형 우리동네키움센터,1008,거점형키움센터,11500,강서구,1003,초등학생,126.83855,37.54534,7697,서울특별시 강서구 화곡로31나길 35,2층 (화곡동),2025-08-05T00:00:00,,,,1300,2000,800,2000,800,2000,Y,1000,1800,,0,,N,,2500,0,18,,11500,N,2024-12-23T13:53:14,2026-02-12T13:44:10
DJ241205,동작16호점 우리동네키움센터(상도꿈),1001,우리동네키움센터,11590,동작구,1003,초등학생,126.950912938354,37.5068872190496,6919,서울특별시 동작구 매봉로 37,3층 (상도1동),2025-01-02T00:00:00,,,22,1200,1900,900,1800,900,1800,N,,,N,,50000,N,,2500,20,4,72,,N,2024-12-18T16:56:23,2026-02-11T17:08:02
JG241201,중구9호점 우리동네키움센터(중구 초등돌봄 교육지원키움센터),1001,우리동네키움센터,11140,중구,1003,초등학생,127.01968,37.5614,4584,서울특별시 중구 다산로38길 85,교육지원센터 1층 (신당동),2024-12-31T00:00:00,,,28,900,2000,800,2000,800,2000,N,,,Y,,,,,,20,4,94,,N,2024-12-18T16:34:44,2026-01-06T09:11:02
SB241201,성북13호점 우리동네키움센터 융합형(보문동),1009,융합형키움센터,11290,성북구,1003,초등학생,127.0167,37.58463,2874,서울특별시 성북구 보문사길 18,"4층, 우리동네키움센터 성북13호점",2024-12-23T00:00:00,,,142,1300,2000,800,2000,900,2000,Y,900,1300,N,,50000,N,,2500,40,8,470,,N,2024-12-16T16:55:01,2025-08-21T14:38:03
SP241201,송파20호점 우리동네키움센터(장지동2호점 송파키움센터),1009,융합형키움센터,11710,송파구,1003,초등학생,127.13311119017,37.4881939226602,5798,서울특별시 송파구 송이로33길 9,3층 (문정동),2024-12-18T00:00:00,,,94.38,700,2000,700,2000,900,2000,Y,900,1300,N,,50000,N,,2500,45,9,312,,Y,2024-12-12T11:50:13,2026-04-30T19:37:06
DM241201,동대문구 8호점 우리동네키움센터,1001,우리동네키움센터,11230,동대문구,1003,초등학생,127.07247,37.57355,2523,서울특별시 동대문구 장한로28가길 11,"101호 (장안동, SM 해그린아파트)",2025-01-06T00:00:00,,,64,1300,1900,900,1800,900,1800,N,,,N,,50000,N,,2500,30,6,212.5,,Y,2024-12-04T15:56:51,2026-02-06T15:13:50
GN240801,강남9호점 우리동네키움센터 (행복자곡다함께키움센터),1001,우리동네키움센터,11680,강남구,1003,초등학생,127.10702,37.47957,6369,서울특별시 강남구 자곡로11길 28,LH수서2단지아파트 208동 1층 (자곡동),2024-09-02T00:00:00,,,66.3,700,1900,700,1800,700,1800,N,,,N,,50000,N,,2500,20,4,218.92,,Y,2024-08-29T14:09:39,2026-04-23T09:26:16
SM240602,서대문구 11호점 우리동네키움센터,1001,우리동네키움센터,11410,서대문구,1003,초등학생,126.95302,37.55907,3769,서울특별시 서대문구 북아현로1가길 6,3층 (북아현동),2024-06-03T00:00:00,,,38,1300,1900,900,1800,900,1800,N,,,N,,50000,N,,2500,32,6,125.55,,N,2024-06-13T16:00:54,2026-03-05T14:50:48
DB240601,도봉구 7호점 우리동네키움센터,1001,우리동네키움센터,11320,도봉구,1003,초등학생,127.028284257567,37.6544429380159,1435,서울특별시 도봉구 시루봉로 42,쌍문동 실내스포츠센터 3층 (쌍문동),2024-07-01T00:00:00,,,90,1300,1900,900,1800,900,1800,N,,,N,,20000,N,,2000,20,4,299,,N,2024-06-04T16:07:02,2025-10-16T11:06:43
NW240401,노원28호점 우리동네키움센터(상계3.4동융합형 아이휴센터),1009,융합형키움센터,11350,노원구,1003,초등학생,127.07684,37.66419,1648,서울특별시 노원구 덕릉로 748,상계구민체육센터 2층 (상계동),2024-12-09T00:00:00,,,64,1200,2000,900,2000,900,2000,Y,900,1300,N,,20000,N,,2500,30,6,211.41,,N,2024-04-24T14:56:25,2026-02-09T13:16:17
YS240402,용산구9호점 우리동네키움센터,1001,우리동네키움센터,11170,용산구,1003,초등학생,126.965178447017,37.5390024777973,4316,서울특별시 용산구 백범로 329,용산꿈나무종합타운 제1별관 2층 (원효로1가),2024-05-13T00:00:00,,,40,800,1900,800,1900,800,1900,N,,,N,,50000,N,,2500,30,6,133,,N,2024-04-15T15:49:45,2026-01-02T07:42:41
DJ240302,동작15호점 우리동네키움센터(신대방2동),1001,우리동네키움센터,11590,동작구,1003,초등학생,126.91647,37.49502,7062,서울특별시 동작구 여의대방로16길 41, (신대방동),2024-04-01T00:00:00,,,60,1300,1900,900,1800,900,1800,N,,,N,,50000,N,,2500,30,6,200.43,,N,2024-03-07T09:35:34,2025-12-05T10:13:18
YC240101,양천구 6호점 우리동네키움센터 (융합형),1009,융합형키움센터,11470,양천구,1003,초등학생,126.857804826648,37.517598802214,8090,서울특별시 양천구 목동서로 400," (신정동, 목동신시가지아파트10단지 주민공동시설 2층 ) 경서 농협 2층",2024-01-31T00:00:00,,,85,1300,2000,800,2000,800,2000,Y,900,1300,N,,50000,N,,2500,35,7,281,,Y,2024-01-04T18:15:40,2026-01-02T11:45:46
GB231201,강북구 7호점 우리동네키움센터(인수동),1001,우리동네키움센터,11305,강북구,1003,초등학생,127.01236788685,37.6376156220467,1023,서울특별시 강북구 인수봉로57길 16,3~4층 (수유동),2023-12-26T00:00:00,,,45,1300,2000,900,2000,900,2000,N,,,N,,50000,N,,2500,25,4,150.2,,N,2023-12-26T07:49:07,2025-12-31T12:05:52
GS231101,강서7호점 화곡3동 우리동네키움센터,1001,우리동네키움센터,11500,강서구,1003,초등학생,126.83597,37.54626,7705,서울특별시 강서구 강서로 231,"2층 (화곡동, 우장산역 해링턴 타워)",2023-12-27T00:00:00,,,34,900,1900,900,1900,900,1900,N,,,N,,50000,N,,2500,25,5,112,,N,2023-11-30T16:15:02,2025-10-16T13:58:25
BP231101,제7호(양천권) 거점형 우리동네키움센터,1008,거점형키움센터,11470,양천구,1003,초등학생,126.883657758722,37.5421783069887,7978,서울특별시 양천구 안양천로 1131,2충 (목동),2023-12-18T00:00:00,,,,1300,2000,800,2000,900,2000,Y,1000,1800,,0,,N,,2500,0,18,,11470,N,2023-11-28T16:36:07,2026-04-02T17:47:24
SB231101,성북12호점 우리동네키움센터(길음1동),1001,우리동네키움센터,11290,성북구,1003,초등학생,127.02202,37.60874,2724,서울특별시 성북구 삼양로9길 14-7,"2~3층 (길음동, 길음소리마을센터)",2023-12-18T00:00:00,,,59,1300,1900,900,1800,900,1800,N,,,N,,50000,N,,2500,30,6,196.1,,N,2023-11-28T13:39:18,2025-12-10T17:27:44
NW231101,노원29호점 우리동네키움센터(공릉태릉우성 아이휴센터),1001,우리동네키움센터,11350,노원구,1003,초등학생,127.085779292382,37.6249066029262,1821,서울특별시 노원구 노원로 29,"1동 105호 (공릉동, 우성아파트)",2023-12-26T00:00:00,,,20.26,1200,2000,900,2000,900,2000,N,,,N,,20000,N,,2500,20,4,66.87,,N,2023-11-22T16:17:43,2026-02-03T20:15:22
SM231101,서대문구10호점우리동네키움센터,1001,우리동네키움센터,11410,서대문구,1003,초등학생,126.91448,37.57696,3690,서울특별시 서대문구 거북골로14길 32,"관리동 2층 (북가좌동, DMC아이파크아파트)",2023-12-11T00:00:00,,,42,1300,1900,900,1800,900,1800,N,,,N,,50000,N,,2500,28,5,142.64,,N,2023-11-16T17:14:13,2024-07-03T08:57:59
SP231101,송파19호점 우리동네키움센터(풍납동송파키움센터),1001,우리동네키움센터,11710,송파구,1003,초등학생,127.117678089331,37.5337043792891,5528,서울특별시 송파구 풍성로20길 3,3층 (풍납동),2023-12-18T00:00:00,,,39,1000,1900,900,1800,900,1800,N,,,N,,50000,N,,2500,25,3,130,,N,2023-11-13T17:25:04,2025-12-26T12:27:49
SD230902,성동13호점 우리동네키움센터(송정동아이꿈누리터),1001,우리동네키움센터,11200,성동구,1003,초등학생,127.068589791553,37.5532857254383,4800,서울특별시 성동구 송정18가길 9,5층 송정동 아이꿈누리터 (송정동 공공복합청사) (송정동),2023-10-04T00:00:00,,,25,1300,1900,900,1800,900,1800,N,,,N,,50000,N,,2500,22,2,85.62,,N,2023-09-25T09:57:18,2024-08-26T11:00:44
GA230702,관악 5호점 우리동네키움센터,1001,우리동네키움센터,11620,관악구,1003,초등학생,126.922,37.46599,8857,서울특별시 관악구 난곡로16길 30-6,2층 (신림동),2023-06-01T00:00:00,,,72.842,900,1900,700,1800,700,2000,N,1000,1600,N,,50000,N,,2500,30,6,240.8,,Y,2023-07-17T10:47:04,2026-01-05T09:47:20
GA230701,관악 4호점 우리동네키움센터,1001,우리동네키움센터,11620,관악구,1003,초등학생,126.94084,37.48588,8750,서울특별시 관악구 은천로10길 3,1층 (봉천동),2023-06-01T00:00:00,,,34.7754,1200,1900,900,1800,900,1800,N,1000,1900,N,,50000,N,,2500,20,4,114.96,,N,2023-07-17T09:49:20,2026-03-06T13:23:59
JR230701,중랑구6호점 묵1동우리동네키움센터,1001,우리동네키움센터,11260,중랑구,1003,초등학생,127.08049,37.61124,2037,서울특별시 중랑구 동일로160길 49,2층 (묵동),2023-07-26T00:00:00,,,35,900,2000,900,1900,900,2000,N,,,N,,50000,N,,2500,24,5,115.8,,N,2023-07-14T23:28:07,2026-04-21T16:27:16
SM230601,서대문구9호점 우리동네키움센터,1001,우리동네키움센터,11410,서대문구,1003,초등학생,126.9473,37.59238,3624,서울특별시 서대문구 세무서길 103,2층(서대문구9호점 우리동네키움센터) (홍제동),2023-07-17T00:00:00,,,47,1300,1900,900,1800,900,1800,N,,,N,,50000,N,,2500,28,5,156,,N,2023-06-26T09:24:49,2024-10-25T10:12:15
GB230501,강북구 8호점 우리동네키움센터(번2동),1001,우리동네키움센터,11305,강북구,1003,초등학생,127.035,37.63472,1137,서울특별시 강북구 한천로 943-1,지상1~2층 (번동),2023-06-01T00:00:00,,,46,1300,2000,900,2000,900,1900,N,,,N,,50000,N,,2500,20,4,153.42,,N,2023-05-01T15:03:07,2026-04-07T16:28:34
JG230201,중구8호점 우리동네키움센터(중구 초등돌봄 서울역자이키움센터),1001,우리동네키움센터,11140,중구,1003,초등학생,126.96446,37.55478,4500,서울특별시 중구 만리재로 175,"110동 P2층 서울역자이센터 (만리동2가, 서울역센트럴자이)",2023-03-02T00:00:00,,,33,1200,2000,800,2000,800,2000,N,,,Y,0,,,0,,22,4,110,,N,2023-02-21T16:32:03,2026-03-13T11:11:29
SM230201,서대문구8호점 우리동네키움센터,1001,우리동네키움센터,11410,서대문구,1003,초등학생,126.95183,37.58021,3731,서울특별시 서대문구 통일로 333,"나, 다동 2층 (서대문구8호점 우리동네키움센터)",2023-03-02T00:00:00,,,56,1300,1900,900,1800,900,1800,N,,,N,,50000,N,,2500,24,4,185,,Y,2023-02-16T17:43:38,2025-12-23T18:15:15
DM230201,동대문구 7호점 우리동네키움센터,1001,우리동네키움센터,11230,동대문구,1003,초등학생,127.051108392983,37.5762437249561,2553,서울특별시 동대문구 사가정로 65,"108동 1층 (전농동, 래미안 크레시티)",2023-03-02T00:00:00,,,63,1300,1900,900,1800,900,1800,N,900,1300,N,,50000,N,,2500,30,6,208,,N,2023-02-06T13:03:34,2026-02-05T17:42:22
MP230102,마포8호점우리동네키움센터 (아현동),1001,우리동네키움센터,11440,마포구,1003,초등학생,126.95369,37.55022,4131,서울특별시 마포구 마포대로 167,공덕 래미안 5차 B블럭 커뮤니티센터 내,2023-03-02T00:00:00,,,57.02,1300,2000,900,1800,900,1800,N,,,N,,50000,N,,2500,22,4,188.5,,N,2023-01-26T08:12:17,2026-01-14T12:49:03
MP230101,마포구9호점 우리동네키움센터(합정동),1001,우리동네키움센터,11440,마포구,1003,초등학생,126.90821,37.55289,4022,서울특별시 마포구 양화로1길 108,1층 (마포9호점 합정동키움센터) (합정동),2023-01-01T00:00:00,,,40.87,1300,1900,900,1800,900,1800,N,,,N,,50000,N,,2500,20,4,135.12,,Y,2023-01-17T14:11:55,2025-01-17T13:32:59
BP230101,제4호(구로?금천권) 거점형 우리동네키움센터,1008,거점형키움센터,11530,구로구,1003,초등학생,126.84286,37.49349,8335,서울특별시 구로구 서해안로 2329, (오류동),2023-04-08T00:00:00,,,,1300,2000,800,2000,1000,2000,Y,1000,1800,,0,,N,,2500,0,18,,1153011545,N,2023-01-16T16:09:18,2025-08-27T11:30:54
YC230101,양천구 5호점 우리동네키움센터 (융합형),1009,융합형키움센터,11470,양천구,1003,초등학생,126.84735,37.52005,8061,서울특별시 양천구 신월로24길 19,신월종합사회복지관 4층 (신월동),2023-01-02T00:00:00,,,96,1300,2000,800,2000,900,2000,Y,900,1300,N,,50000,N,,2500,40,8,318,,N,2023-01-04T15:30:10,2026-04-20T10:28:03
KC230101,금천구 4호점 우리동네키움센터(시흥1동),1001,우리동네키움센터,11545,금천구,1003,초등학생,126.90323,37.44889,8631,서울특별시 금천구 시흥대로 164,2층 201호 (시흥동),2023-01-01T00:00:00,,,40,1000,1900,800,1900,800,1800,N,,,N,,50000,N,,2500,20,4,134,,N,2023-01-02T15:01:43,2025-10-17T15:10:21
GS221201,강서6호점 우리동네키움센터(화곡8동),1001,우리동네키움센터,11500,강서구,1003,초등학생,126.849240549605,37.5299910186119,7781,서울특별시 강서구 강서로5길 50,곰달래문화복지센터 202호 (화곡동),2023-01-02T00:00:00,,,30,1300,1900,900,1800,900,1800,N,,,N,,50000,N,,2500,20,4,99.39,,N,2022-12-12T00:49:53,2026-01-09T00:22:48
DJ221101,동작14호점 우리동네키움센터(상도3동),1001,우리동네키움센터,11590,동작구,1003,초등학생,126.93247,37.50212,6951,서울특별시 동작구 상도로15가길 14,1~2층 (상도동),2022-10-17T00:00:00,,,48,900,1900,900,1800,900,1800,N,,,N,,50000,N,,2500,30,6,159,,N,2022-11-03T12:36:55,2026-04-13T13:22:50
GB221101,강북구 6호점 우리동네키움센터(융합형)(삼각산동),1009,융합형키움센터,11305,강북구,1003,초등학생,127.01751,37.61676,1196,서울특별시 강북구 삼양로19길 102,1층 (미아동),2022-12-01T00:00:00,,,119,700,2200,700,2200,900,2200,Y,900,1300,N,,50000,N,,2500,36,7,395.22,,Y,2022-11-01T15:40:16,2026-01-28T09:43:09
DM221001,동대문구 6호점 우리동네키움센터,1001,우리동네키움센터,11230,동대문구,1003,초등학생,127.03419,37.58402,2476,서울특별시 동대문구 약령시로5길 22,2층 (제기동),2022-11-14T00:00:00,,,23.9,1300,1900,900,1800,900,1800,N,,,N,,50000,N,,2500,20,4,79,,N,2022-10-18T10:01:16,2026-01-08T14:28:33
GR221001,구로19호점 우리동네키움센터(항동융합형),1009,융합형키움센터,11530,구로구,1003,초등학생,126.822758003236,37.4790583557173,8368,서울특별시 구로구 연동로 191-19,항동복합행정센터 내 2층 (항동),2022-10-17T00:00:00,,,71,900,2000,800,2000,900,2000,Y,800,1400,N,,50000,N,,2500,36,7,233.77,,N,2022-10-05T16:23:24,2025-11-06T15:45:38
EP220902,은평12호점 우리동네키움센터,1001,우리동네키움센터,11380,은평구,1003,초등학생,126.93477,37.60276,3382,서울특별시 은평구 통일로 627,3층 은평12호점 우리동네키움센터 (녹번동),2022-09-26T00:00:00,,,55,1300,1900,900,1900,900,1900,N,,,N,,50000,N,,2500,25,5,180.9,,N,2022-09-23T18:10:54,2026-04-24T10:40:00
SP220901,송파18호점 우리동네키움센터(위례동2호점 송파키움센터),1001,우리동네키움센터,11710,송파구,1003,초등학생,127.151138469646,37.4877279920388,5776,서울특별시 송파구 위례북로4길 12,"커뮤니티센터 1층 (거여동, 위례포레샤인 18단지)",2022-10-04T00:00:00,,,29,1000,1900,900,1800,900,1800,N,900,1800,N,,50000,N,,2500,25,5,95,,N,2022-09-23T17:52:59,2026-02-06T15:25:49
EP220901,은평11호점 우리동네키움센터,1001,우리동네키움센터,11380,은평구,1003,초등학생,126.92267,37.61524,3385,서울특별시 은평구 통일로73길 16,2층 (대조동),2022-09-14T00:00:00,,,41,1300,2000,900,1900,900,1900,N,,,N,,50000,N,,2500,25,5,136,,N,2022-09-07T12:46:24,2025-12-26T11:21:29
EP220801,은평10호점 우리동네키움센터,1001,우리동네키움센터,11380,은평구,1003,초등학생,126.92042,37.59988,3454,서울특별시 은평구 은평로 114,3층 (응암동),2022-09-01T00:00:00,,,50,700,1900,700,1800,700,1800,N,,,N,,50000,N,,2500,25,5,165,,Y,2022-08-23T18:42:42,2026-02-05T14:55:21
BP220801,제5호(성북?동대문권) 거점형 우리동네키움센터,1008,거점형키움센터,11290,성북구,1003,초등학생,127.03713,37.59222,2796,서울특별시 성북구 회기로3길 17,2~4층 (종암동),2022-09-13T00:00:00,,,,1300,2000,800,2000,1000,1800,Y,1000,1800,,0,,N,,2500,0,21,,1123011290,N,2022-08-10T11:14:56,2026-04-01T11:45:28
SB220701,성북11호점 우리동네키움센터(삼선동),1001,우리동네키움센터,11290,성북구,1003,초등학생,127.01336,37.58574,2870,서울특별시 성북구 보문로29길 101,3층 (삼선동3가),2022-07-01T00:00:00,,,40,900,1900,800,1900,800,1900,N,,,N,,50000,N,,2500,30,6,132,,N,2022-07-11T12:24:32,2026-04-17T17:42:23
SD220601,성동12호점 우리동네키움센터(융합형 서울숲아이꿈누리터),1009,융합형키움센터,11200,성동구,1003,초등학생,127.0415,37.54907,4767,서울특별시 성동구 왕십리로11길 19,서울숲아이꿈누리터 . 1F (성수동1가),2022-06-27T00:00:00,,,69,1300,2000,800,2000,1300,1400,Y,900,1300,N,,50000,N,,2500,30,0,227.8,,N,2022-06-21T17:33:16,2025-11-12T16:46:08
GR220601,구로18호점 우리동네키움센터(구로신도림),1001,우리동네키움센터,11530,구로구,1003,초등학생,126.88521,37.50959,8207,서울특별시 구로구 경인로65길 44,"보미프라자 1층, 키움센터 구로18호점 (신도림동)",2022-06-20T00:00:00,,,27,1300,1900,900,1800,900,1800,N,,,N,,50000,N,,2500,20,4,90.82,,N,2022-06-13T14:28:46,2025-10-10T09:24:08
DJ220601,동작13호점 융합형 우리동네키움센터(사당동),1009,융합형키움센터,11590,동작구,1003,초등학생,126.97422,37.48183,7011,서울특별시 동작구 사당로20나길 25,1층 (사당동),2022-07-11T00:00:00,,,78,700,2200,700,2200,700,2200,Y,800,1200,N,,50000,N,,2500,30,6,259.56,,Y,2022-06-08T16:52:54,2026-04-02T10:52:59
SP220601,송파17호점 우리동네키움센터(거여2동 송파키움센터),1001,우리동네키움센터,11710,송파구,1003,초등학생,146.303395186543,36.6772280367652,5764,서울특별시 송파구 오금로 551,"관리동 1층 (거여동, e편한세상 송파 파크센트럴)",2022-06-21T00:00:00,,,36,1300,1900,900,1800,900,1800,N,,,N,,50000,N,,2500,25,5,120,,N,2022-06-06T12:15:55,2026-04-16T12:06:55
GA220501,관악3호점 우리동네키움센터,1001,우리동네키움센터,11620,관악구,1003,초등학생,126.95832,37.48667,8733,서울특별시 관악구 청림2길 37,2층 (봉천동),2022-11-01T00:00:00,,,46,1300,1900,900,1900,900,1900,N,,,N,,50000,N,,2500,25,5,152.73,,N,2022-05-26T15:59:07,2026-02-01T11:04:11
JR220502,중랑구5호점 망우본동우리동네키움센터(중랑아동돌봄센터),1001,우리동네키움센터,11260,중랑구,1003,초등학생,127.106199087558,37.6085316003021,2057,서울특별시 중랑구 양원역로 92,"지역편의시설 2 (망우동, LH서울양원1단지)",2022-05-25T00:00:00,,,29,1300,1900,900,1900,900,1900,N,,,N,,50000,N,,2500,22,4,97.46,,Y,2022-05-16T11:25:38,2026-03-06T09:45:48
JR220501,중랑구4호점 면목7동우리동네키움센터(중랑아동돌봄센터),1001,우리동네키움센터,11260,중랑구,1003,초등학생,127.08959,37.58003,2250,서울특별시 중랑구 용마산로51길 42,"202호 (면목동, 유진 뜨레지움)",2022-05-23T00:00:00,,,39,1300,2000,900,2000,900,2000,N,,,N,,50000,N,,2500,28,4,130.45,,N,2022-05-16T10:18:38,2026-01-02T10:06:44
GS220501,강서5호점 우리동네키움센터(공항동),1001,우리동네키움센터,11500,강서구,1003,초등학생,126.822029779833,37.5587884350572,7808,서울특별시 강서구 공항대로 124,"1105동 상가동 1층 (마곡동, 마곡엠밸리11단지)",2022-06-02T00:00:00,,,43,1300,1900,900,1900,900,1900,N,,,N,,50000,N,,2500,20,4,143.3,,N,2022-05-04T14:50:58,2026-02-10T11:48:43
DM220501,동대문구 5호점 우리동네키움센터,1001,우리동네키움센터,11230,동대문구,1003,초등학생,127.06997,37.58718,2511,서울특별시 동대문구 장안벚꽃로 323,2층 (휘경동),2022-05-16T00:00:00,,,53,1300,1900,900,1800,900,1800,N,900,1400,N,,50000,N,,2500,25,5,175,,N,2022-05-02T16:24:27,2026-01-02T16:19:34
YC220403,양천구 4호점 우리동네키움센터,1001,우리동네키움센터,11470,양천구,1003,초등학생,126.863572649803,37.5483621608276,7950,서울특별시 양천구 등촌로 208,목동깨비시장 공유센터 3층 (목동),2022-05-09T00:00:00,,,24,1000,2000,900,1800,900,1900,N,1100,1700,N,,50000,N,,2500,20,4,80.5,,N,2022-04-27T09:42:11,2026-03-19T00:17:01
GN220401,강남8호점 우리동네키움센터(자곡다함께키움센터),1001,우리동네키움센터,11680,강남구,1003,초등학생,127.0945,37.4715,6373,서울특별시 강남구 자곡로 100,자곡문화센터 1층 (자곡동),2022-04-22T00:00:00,,,23.4,1000,1900,900,1800,900,1800,N,800,1200,N,,50000,N,,2500,15,3,77.4,,N,2022-04-13T13:19:42,2025-10-22T17:26:28
