"시설ID","시설명","서비스분류코드","서비스분류명","자치구코드","자치구명","연령구분코드","연령구분","X좌표값","Y좌표값","우편번호","기본주소","상세주소","설립일","사용료무료여부","사용료","전용면적(평)","학기시작시간","학기종료시간","방학시작시간","방학종료시간","재량휴일시작시간","재량휴일종료시간","토요일운영여부","토요일운영시작시간","토요일운영종료시간","월사용료무료여부","월자기부담금","월사용료","일사용료무료여부","일자기부담금","일사용료","상시돌봄정원수","일시돌봄정원수","전용면적(m2)","자치구코드배열","아침돌봄서비스여부","등록일시","수정일시"
"GR260201","구로20호점 우리동네키움센터(개봉2동)","1001","우리동네키움센터","11530","구로구","1003","초등학생","126.86113","37.49273","08329","서울특별시 구로구 개봉로20길 123","구로문화누리 도서관동 1층 (개봉동)","2026-02-23","","","103","0900","1800","0900","1800","0900","1800","N","","","N","","50000","N","","2500","20","4","30","","N","2026-02-02 12:47:20.0","2026-02-13 13:24:26.0"
"DB251101","도봉구 8호점 우리동네키움센터(융합형)","1009","융합형키움센터","11320","도봉구","1003","초등학생","127.04635736916414","37.67479461967481","01326","서울특별시 도봉구 도봉로162길 25-3"," (도봉동) 도봉구 8호점 우리동네키움센터(융합형)","2026-01-02","","","120","1300","2200","0800","2200","0800","2200","Y","0900","1300","N","","20000","N","","2000","30","6","398.26","","N","2025-11-28 11:16:17.0","2026-03-11 13:50:07.0"
"YC251001","양천구 8호점 우리동네키움센터","1001","우리동네키움센터","11470","양천구","1003","초등학생","126.8690063009973","37.51096670659234","08101","서울특별시 양천구 목동남로 98","양천구보육타운 3층 (신정동)","2025-11-19","","","56","1300","2000","0900","1800","0900","1800","N","","","N","","50000","N","","2500","32","6","185","","N","2025-10-02 16:15:44.0","2026-04-17 16:08:32.0"
"GD250602","강동9호점 둔촌동 우리동네키움센터(융합형)","1009","융합형키움센터","11740","강동구","1003","초등학생","127.13616","37.52585","05409","서울특별시 강동구 양재대로 1342","강동숨터 3층 (둔촌동)","2025-07-01","","","102","1300","2000","0800","2000","0900","2000","Y","0900","1300","N","","50000","N","","2500","40","8","339.16","","N","2025-06-19 17:25:54.0","2025-08-07 10:52:41.0"
"GD250501","강동구8호점 상일동 우리동네키움센터","1001","우리동네키움센터","11740","강동구","1003","초등학생","127.16382","37.55124","05277","서울특별시 강동구 구천면로 587","강동숲속도서관 1층 (상일동)","2025-06-02","","","36","1300","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","25","5","120","","N","2025-05-18 08:11:55.0","2026-02-15 22:36:54.0"
"SB250301","성북14호점 우리동네키움센터(장위3동)","1001","우리동네키움센터","11290","성북구","1003","초등학생","127.05531","37.61516","02774","서울특별시 성북구 장위로 170","1층 (장위3동주민센터)","2025-04-01","","","42","1300","2000","0900","1800","0900","1800","N","","","N","","50000","N","","2500","23","4","138","","N","2025-03-05 18:55:32.0","2025-10-30 19:20:20.0"
"GS250201","강서8호점 화곡6동 우리동네키움센터","1001","우리동네키움센터","11500","강서구","1003","초등학생","126.85103","37.55106","07659","서울특별시 강서구 화곡로54길 43","종합보육센터 2층 (화곡동, 강서금호어울림퍼스티어)","2025-03-10","","","38","1300","2000","0900","1800","0900","1800","N","","","N","","50000","N","","2500","20","4","125","","Y","2025-02-24 17:28:51.0","2026-04-24 10:57:34.0"
"DJ250202","동작18호점 우리동네키움센터(사당꿈)","1001","우리동네키움센터","11590","동작구","1003","초등학생","126.97758","37.48838","06999","서울특별시 동작구 동작대로29길 63-26"," (사당동)","2025-03-10","","","59","1300","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","30","6","196.32","","N","2025-02-17 11:05:17.0","2026-04-08 11:41:05.0"
"DJ250201","동작17호점 우리동네키움센터(흑석꿈)","1001","우리동네키움센터","11590","동작구","1003","초등학생","126.95915","37.50993","06909","서울특별시 동작구 흑석로13길 25","3층 (흑석동)","2025-02-17","","","59","1300","1900","0900","1800","0900","1900","N","","","N","","50000","N","","2500","30","6","196.32","","N","2025-02-17 10:24:54.0","2026-03-03 17:06:24.0"
"GS250101","강서9호점 우장산동 우리동네키움센터","1001","우리동네키움센터","11500","강서구","1003","초등학생","126.84006031868279","37.55422194812244","07682","서울특별시 강서구 우장산로 24-5","내발산복합복지센터 3층 (내발산동)[*미고시]","2025-01-20","","","35","1300","2000","0900","1800","0900","1800","N","","","N","","50000","N","","2500","20","4","116","","N","2025-01-15 11:29:36.0","2025-10-16 14:28:49.0"
"YC241201","양천구 7호점 우리동네키움센터","1001","우리동네키움센터","11470","양천구","1003","초등학생","126.83134365870343","37.5138795927811","08050","서울특별시 양천구 신정이펜1로 50","314동 1층 (신정동, 신정이펜하우스3단지)","2024-12-23","","","39","1300","2000","0900","1900","0900","1800","N","","","N","","50000","N","","2500","25","5","129","","Y","2024-12-23 14:36:00.0","2026-01-02 14:24:30.0"
"BP241201","제6호(강서권) 거점형 우리동네키움센터","1008","거점형키움센터","11500","강서구","1003","초등학생","126.83855","37.54534","07697","서울특별시 강서구 화곡로31나길 35","2층 (화곡동)","2025-08-05","","","","1300","2000","0800","2000","0800","2000","Y","1000","1800","","0","","N","","2500","0","18","","11500","N","2024-12-23 13:53:14.0","2026-02-12 13:44:10.0"
"DJ241205","동작16호점 우리동네키움센터(상도꿈)","1001","우리동네키움센터","11590","동작구","1003","초등학생","126.95091293835418","37.50688721904961","06919","서울특별시 동작구 매봉로 37","3층 (상도1동)","2025-01-02","","","22","1200","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","20","4","72","","N","2024-12-18 16:56:23.0","2026-02-11 17:08:02.0"
"JG241201","중구9호점 우리동네키움센터(중구 초등돌봄 교육지원키움센터)","1001","우리동네키움센터","11140","중구","1003","초등학생","127.01968","37.5614","04584","서울특별시 중구 다산로38길 85","교육지원센터 1층 (신당동)","2024-12-31","","","28","0900","2000","0800","2000","0800","2000","N","","","Y","","","","","","20","4","94","","N","2024-12-18 16:34:44.0","2026-01-06 09:11:02.0"
"SB241201","성북13호점 우리동네키움센터 융합형(보문동)","1009","융합형키움센터","11290","성북구","1003","초등학생","127.0167","37.58463","02874","서울특별시 성북구 보문사길 18","4층, 우리동네키움센터 성북13호점","2024-12-23","","","142","1300","2000","0800","2000","0900","2000","Y","0900","1300","N","","50000","N","","2500","40","8","470","","N","2024-12-16 16:55:01.0","2025-08-21 14:38:03.0"
"SP241201","송파20호점 우리동네키움센터(장지동2호점 송파키움센터)","1009","융합형키움센터","11710","송파구","1003","초등학생","127.13311119017008","37.48819392266024","05798","서울특별시 송파구 송이로33길 9","3층 (문정동)","2024-12-18","","","94.38","0700","2000","0700","2000","0900","2000","Y","0900","1300","N","","50000","N","","2500","45","9","312","","Y","2024-12-12 11:50:13.0","2026-04-30 19:37:06.0"
"DM241201","동대문구 8호점 우리동네키움센터","1001","우리동네키움센터","11230","동대문구","1003","초등학생","127.07247","37.57355","02523","서울특별시 동대문구 장한로28가길 11","101호 (장안동, SM 해그린아파트)","2025-01-06","","","64","1300","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","30","6","212.5","","Y","2024-12-04 15:56:51.0","2026-02-06 15:13:50.0"
"GN240801","강남9호점 우리동네키움센터 (행복자곡다함께키움센터)","1001","우리동네키움센터","11680","강남구","1003","초등학생","127.10702","37.47957","06369","서울특별시 강남구 자곡로11길 28","LH수서2단지아파트 208동 1층 (자곡동)","2024-09-02","","","66.3","0700","1900","0700","1800","0700","1800","N","","","N","","50000","N","","2500","20","4","218.92","","Y","2024-08-29 14:09:39.0","2026-04-23 09:26:16.0"
"SM240602","서대문구 11호점 우리동네키움센터","1001","우리동네키움센터","11410","서대문구","1003","초등학생","126.95302","37.55907","03769","서울특별시 서대문구 북아현로1가길 6","3층 (북아현동)","2024-06-03","","","38","1300","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","32","6","125.55","","N","2024-06-13 16:00:54.0","2026-03-05 14:50:48.0"
"DB240601","도봉구 7호점 우리동네키움센터","1001","우리동네키움센터","11320","도봉구","1003","초등학생","127.0282842575672","37.65444293801599","01435","서울특별시 도봉구 시루봉로 42","쌍문동 실내스포츠센터 3층 (쌍문동)","2024-07-01","","","90","1300","1900","0900","1800","0900","1800","N","","","N","","20000","N","","2000","20","4","299","","N","2024-06-04 16:07:02.0","2025-10-16 11:06:43.0"
"NW240401","노원28호점 우리동네키움센터(상계3.4동융합형 아이휴센터)","1009","융합형키움센터","11350","노원구","1003","초등학생","127.07684","37.66419","01648","서울특별시 노원구 덕릉로 748","상계구민체육센터 2층 (상계동)","2024-12-09","","","64","1200","2000","0900","2000","0900","2000","Y","0900","1300","N","","20000","N","","2500","30","6","211.41","","N","2024-04-24 14:56:25.0","2026-02-09 13:16:17.0"
"YS240402","용산구9호점 우리동네키움센터","1001","우리동네키움센터","11170","용산구","1003","초등학생","126.96517844701796","37.53900247779734","04316","서울특별시 용산구 백범로 329","용산꿈나무종합타운 제1별관 2층 (원효로1가)","2024-05-13","","","40","0800","1900","0800","1900","0800","1900","N","","","N","","50000","N","","2500","30","6","133","","N","2024-04-15 15:49:45.0","2026-01-02 07:42:41.0"
"DJ240302","동작15호점 우리동네키움센터(신대방2동)","1001","우리동네키움센터","11590","동작구","1003","초등학생","126.91647","37.49502","07062","서울특별시 동작구 여의대방로16길 41"," (신대방동)","2024-04-01","","","60","1300","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","30","6","200.43","","N","2024-03-07 09:35:34.0","2025-12-05 10:13:18.0"
"YC240101","양천구 6호점 우리동네키움센터 (융합형)","1009","융합형키움센터","11470","양천구","1003","초등학생","126.85780482664897","37.51759880221405","08090","서울특별시 양천구 목동서로 400"," (신정동, 목동신시가지아파트10단지 주민공동시설 2층 ) 경서 농협 2층","2024-01-31","","","85","1300","2000","0800","2000","0800","2000","Y","0900","1300","N","","50000","N","","2500","35","7","281","","Y","2024-01-04 18:15:40.0","2026-01-02 11:45:46.0"
"GB231201","강북구 7호점 우리동네키움센터(인수동)","1001","우리동네키움센터","11305","강북구","1003","초등학생","127.01236788685065","37.637615622046766","01023","서울특별시 강북구 인수봉로57길 16","3~4층 (수유동)","2023-12-26","","","45","1300","2000","0900","2000","0900","2000","N","","","N","","50000","N","","2500","25","4","150.2","","N","2023-12-26 07:49:07.0","2025-12-31 12:05:52.0"
"GS231101","강서7호점 화곡3동 우리동네키움센터","1001","우리동네키움센터","11500","강서구","1003","초등학생","126.83597","37.54626","07705","서울특별시 강서구 강서로 231","2층 (화곡동, 우장산역 해링턴 타워)","2023-12-27","","","34","0900","1900","0900","1900","0900","1900","N","","","N","","50000","N","","2500","25","5","112","","N","2023-11-30 16:15:02.0","2025-10-16 13:58:25.0"
"BP231101","제7호(양천권) 거점형 우리동네키움센터","1008","거점형키움센터","11470","양천구","1003","초등학생","126.88365775872256","37.54217830698875","07978","서울특별시 양천구 안양천로 1131","2충 (목동)","2023-12-18","","","","1300","2000","0800","2000","0900","2000","Y","1000","1800","","0","","N","","2500","0","18","","11470","N","2023-11-28 16:36:07.0","2026-04-02 17:47:24.0"
"SB231101","성북12호점 우리동네키움센터(길음1동)","1001","우리동네키움센터","11290","성북구","1003","초등학생","127.02202","37.60874","02724","서울특별시 성북구 삼양로9길 14-7","2~3층 (길음동, 길음소리마을센터)","2023-12-18","","","59","1300","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","30","6","196.1","","N","2023-11-28 13:39:18.0","2025-12-10 17:27:44.0"
"NW231101","노원29호점 우리동네키움센터(공릉태릉우성 아이휴센터)","1001","우리동네키움센터","11350","노원구","1003","초등학생","127.08577929238243","37.62490660292624","01821","서울특별시 노원구 노원로 29","1동 105호 (공릉동, 우성아파트)","2023-12-26","","","20.26","1200","2000","0900","2000","0900","2000","N","","","N","","20000","N","","2500","20","4","66.87","","N","2023-11-22 16:17:43.0","2026-02-03 20:15:22.0"
"SM231101","서대문구10호점우리동네키움센터","1001","우리동네키움센터","11410","서대문구","1003","초등학생","126.91448","37.57696","03690","서울특별시 서대문구 거북골로14길 32","관리동 2층 (북가좌동, DMC아이파크아파트)","2023-12-11","","","42","1300","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","28","5","142.64","","N","2023-11-16 17:14:13.0","2024-07-03 08:57:59.0"
"SP231101","송파19호점 우리동네키움센터(풍납동송파키움센터)","1001","우리동네키움센터","11710","송파구","1003","초등학생","127.11767808933166","37.53370437928915","05528","서울특별시 송파구 풍성로20길 3","3층 (풍납동)","2023-12-18","","","39","1000","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","25","3","130","","N","2023-11-13 17:25:04.0","2025-12-26 12:27:49.0"
"SD230902","성동13호점 우리동네키움센터(송정동아이꿈누리터)","1001","우리동네키움센터","11200","성동구","1003","초등학생","127.06858979155335","37.55328572543835","04800","서울특별시 성동구 송정18가길 9","5층 송정동 아이꿈누리터 (송정동 공공복합청사) (송정동)","2023-10-04","","","25","1300","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","22","2","85.62","","N","2023-09-25 09:57:18.0","2024-08-26 11:00:44.0"
"GA230702","관악 5호점 우리동네키움센터","1001","우리동네키움센터","11620","관악구","1003","초등학생","126.922","37.46599","08857","서울특별시 관악구 난곡로16길 30-6","2층 (신림동)","2023-06-01","","","72.842","0900","1900","0700","1800","0700","2000","N","1000","1600","N","","50000","N","","2500","30","6","240.8","","Y","2023-07-17 10:47:04.0","2026-01-05 09:47:20.0"
"GA230701","관악 4호점 우리동네키움센터","1001","우리동네키움센터","11620","관악구","1003","초등학생","126.94084","37.48588","08750","서울특별시 관악구 은천로10길 3","1층 (봉천동)","2023-06-01","","","34.7754","1200","1900","0900","1800","0900","1800","N","1000","1900","N","","50000","N","","2500","20","4","114.96","","N","2023-07-17 09:49:20.0","2026-03-06 13:23:59.0"
"JR230701","중랑구6호점 묵1동우리동네키움센터","1001","우리동네키움센터","11260","중랑구","1003","초등학생","127.08049","37.61124","02037","서울특별시 중랑구 동일로160길 49","2층 (묵동)","2023-07-26","","","35","0900","2000","0900","1900","0900","2000","N","","","N","","50000","N","","2500","24","5","115.8","","N","2023-07-14 23:28:07.0","2026-04-21 16:27:16.0"
"SM230601","서대문구9호점 우리동네키움센터","1001","우리동네키움센터","11410","서대문구","1003","초등학생","126.9473","37.59238","03624","서울특별시 서대문구 세무서길 103","2층(서대문구9호점 우리동네키움센터) (홍제동)","2023-07-17","","","47","1300","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","28","5","156","","N","2023-06-26 09:24:49.0","2024-10-25 10:12:15.0"
"GB230501","강북구 8호점 우리동네키움센터(번2동)","1001","우리동네키움센터","11305","강북구","1003","초등학생","127.035","37.63472","01137","서울특별시 강북구 한천로 943-1","지상1~2층 (번동)","2023-06-01","","","46","1300","2000","0900","2000","0900","1900","N","","","N","","50000","N","","2500","20","4","153.42","","N","2023-05-01 15:03:07.0","2026-04-07 16:28:34.0"
"JG230201","중구8호점 우리동네키움센터(중구 초등돌봄 서울역자이키움센터)","1001","우리동네키움센터","11140","중구","1003","초등학생","126.96446","37.55478","04500","서울특별시 중구 만리재로 175","110동 P2층 서울역자이센터 (만리동2가, 서울역센트럴자이)","2023-03-02","","","33","1200","2000","0800","2000","0800","2000","N","","","Y","0","","","0","","22","4","110","","N","2023-02-21 16:32:03.0","2026-03-13 11:11:29.0"
"SM230201","서대문구8호점 우리동네키움센터","1001","우리동네키움센터","11410","서대문구","1003","초등학생","126.95183","37.58021","03731","서울특별시 서대문구 통일로 333","나, 다동 2층 (서대문구8호점 우리동네키움센터)","2023-03-02","","","56","1300","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","24","4","185","","Y","2023-02-16 17:43:38.0","2025-12-23 18:15:15.0"
"DM230201","동대문구 7호점 우리동네키움센터","1001","우리동네키움센터","11230","동대문구","1003","초등학생","127.0511083929832","37.57624372495616","02553","서울특별시 동대문구 사가정로 65","108동 1층 (전농동, 래미안 크레시티)","2023-03-02","","","63","1300","1900","0900","1800","0900","1800","N","0900","1300","N","","50000","N","","2500","30","6","208","","N","2023-02-06 13:03:34.0","2026-02-05 17:42:22.0"
"MP230102","마포8호점우리동네키움센터 (아현동)","1001","우리동네키움센터","11440","마포구","1003","초등학생","126.95369","37.55022","04131","서울특별시 마포구 마포대로 167","공덕 래미안 5차 B블럭 커뮤니티센터 내","2023-03-02","","","57.02","1300","2000","0900","1800","0900","1800","N","","","N","","50000","N","","2500","22","4","188.50","","N","2023-01-26 08:12:17.0","2026-01-14 12:49:03.0"
"MP230101","마포구9호점 우리동네키움센터(합정동)","1001","우리동네키움센터","11440","마포구","1003","초등학생","126.90821","37.55289","04022","서울특별시 마포구 양화로1길 108","1층 (마포9호점 합정동키움센터) (합정동)","2023-01-01","","","40.87","1300","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","20","4","135.12","","Y","2023-01-17 14:11:55.0","2025-01-17 13:32:59.0"
"BP230101","제4호(구로?금천권) 거점형 우리동네키움센터","1008","거점형키움센터","11530","구로구","1003","초등학생","126.84286","37.49349","08335","서울특별시 구로구 서해안로 2329"," (오류동)","2023-04-08","","","","1300","2000","0800","2000","1000","2000","Y","1000","1800","","0","","N","","2500","0","18","","11530,11545","N","2023-01-16 16:09:18.0","2025-08-27 11:30:54.0"
"YC230101","양천구 5호점 우리동네키움센터 (융합형)","1009","융합형키움센터","11470","양천구","1003","초등학생","126.84735","37.52005","08061","서울특별시 양천구 신월로24길 19","신월종합사회복지관 4층 (신월동)","2023-01-02","","","96","1300","2000","0800","2000","0900","2000","Y","0900","1300","N","","50000","N","","2500","40","8","318","","N","2023-01-04 15:30:10.0","2026-04-20 10:28:03.0"
"KC230101","금천구 4호점 우리동네키움센터(시흥1동)","1001","우리동네키움센터","11545","금천구","1003","초등학생","126.90323","37.44889","08631","서울특별시 금천구 시흥대로 164","2층 201호 (시흥동)","2023-01-01","","","40","1000","1900","0800","1900","0800","1800","N","","","N","","50000","N","","2500","20","4","134","","N","2023-01-02 15:01:43.0","2025-10-17 15:10:21.0"
"GS221201","강서6호점 우리동네키움센터(화곡8동)","1001","우리동네키움센터","11500","강서구","1003","초등학생","126.84924054960537","37.529991018611945","07781","서울특별시 강서구 강서로5길 50","곰달래문화복지센터 202호 (화곡동)","2023-01-02","","","30","1300","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","20","4","99.39","","N","2022-12-12 00:49:53.0","2026-01-09 00:22:48.0"
"DJ221101","동작14호점 우리동네키움센터(상도3동)","1001","우리동네키움센터","11590","동작구","1003","초등학생","126.93247","37.50212","06951","서울특별시 동작구 상도로15가길 14","1~2층 (상도동)","2022-10-17","","","48","0900","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","30","6","159","","N","2022-11-03 12:36:55.0","2026-04-13 13:22:50.0"
"GB221101","강북구 6호점 우리동네키움센터(융합형)(삼각산동)","1009","융합형키움센터","11305","강북구","1003","초등학생","127.01751","37.61676","01196","서울특별시 강북구 삼양로19길 102","1층 (미아동)","2022-12-01","","","119","0700","2200","0700","2200","0900","2200","Y","0900","1300","N","","50000","N","","2500","36","7","395.22","","Y","2022-11-01 15:40:16.0","2026-01-28 09:43:09.0"
"DM221001","동대문구 6호점 우리동네키움센터","1001","우리동네키움센터","11230","동대문구","1003","초등학생","127.03419","37.58402","02476","서울특별시 동대문구 약령시로5길 22","2층 (제기동)","2022-11-14","","","23.9","1300","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","20","4","79","","N","2022-10-18 10:01:16.0","2026-01-08 14:28:33.0"
"GR221001","구로19호점 우리동네키움센터(항동융합형)","1009","융합형키움센터","11530","구로구","1003","초등학생","126.82275800323673","37.479058355717356","08368","서울특별시 구로구 연동로 191-19","항동복합행정센터 내 2층 (항동)","2022-10-17","","","71","0900","2000","0800","2000","0900","2000","Y","0800","1400","N","","50000","N","","2500","36","7","233.77","","N","2022-10-05 16:23:24.0","2025-11-06 15:45:38.0"
"EP220902","은평12호점 우리동네키움센터","1001","우리동네키움센터","11380","은평구","1003","초등학생","126.93477","37.60276","03382","서울특별시 은평구 통일로 627","3층 은평12호점 우리동네키움센터 (녹번동)","2022-09-26","","","55","1300","1900","0900","1900","0900","1900","N","","","N","","50000","N","","2500","25","5","180.9","","N","2022-09-23 18:10:54.0","2026-04-24 10:40:00.0"
"SP220901","송파18호점 우리동네키움센터(위례동2호점 송파키움센터)","1001","우리동네키움센터","11710","송파구","1003","초등학생","127.15113846964636","37.487727992038884","05776","서울특별시 송파구 위례북로4길 12","커뮤니티센터 1층 (거여동, 위례포레샤인 18단지)","2022-10-04","","","29","1000","1900","0900","1800","0900","1800","N","0900","1800","N","","50000","N","","2500","25","5","95","","N","2022-09-23 17:52:59.0","2026-02-06 15:25:49.0"
"EP220901","은평11호점 우리동네키움센터","1001","우리동네키움센터","11380","은평구","1003","초등학생","126.92267","37.61524","03385","서울특별시 은평구 통일로73길 16","2층 (대조동)","2022-09-14","","","41","1300","2000","0900","1900","0900","1900","N","","","N","","50000","N","","2500","25","5","136","","N","2022-09-07 12:46:24.0","2025-12-26 11:21:29.0"
"EP220801","은평10호점 우리동네키움센터","1001","우리동네키움센터","11380","은평구","1003","초등학생","126.92042","37.59988","03454","서울특별시 은평구 은평로 114","3층 (응암동)","2022-09-01","","","50","0700","1900","0700","1800","0700","1800","N","","","N","","50000","N","","2500","25","5","165","","Y","2022-08-23 18:42:42.0","2026-02-05 14:55:21.0"
